AddressRowidObject,       ParentId      ,       AddressLastModifiedTimestamp    ,       AddressTypeCode ,       AddressPreferenceTypeCode       ,       AddressLine1,AddressLine2    ,       City    ,       State   ,       PostalCode,       SoftDeleteIndicator     ,       SoftDeleteTimestamp
1,820,2014-06-08T20:10:25Z,RES,,08 Meadow Valley Avenue,,Worcester,MA,01605,,
2,297,2014-08-08T01:39:29Z,RES,,4 Weeping Birch Hill,,New York City,NY,10060,,
3,800,2014-11-23T04:23:35Z,MAIL,,19 Badeau Crossing,,Boulder,CO,80305,,
4,72,2014-06-05T21:25:23Z,RES,,747 Lien Lane,,Garland,TX,75049,,
5,600,2014-11-12T02:58:50Z,RES,,9 Sycamore Drive,,San Antonio,TX,78296,,
6,728,2014-08-12T05:09:44Z,RES,,0524 Welch Place,,Omaha,NE,68110,,
7,67,2014-04-14T22:02:25Z,RES,,78 Hansons Avenue,,Hartford,CT,06152,,
8,698,2014-09-05T04:22:59Z,MAIL,,3 Morrow Drive,,Boise,ID,83722,,
9,459,2014-05-17T01:14:16Z,RES,,06 Parkside Circle,,Pittsburgh,PA,15261,,
10,272,2014-07-20T13:59:43Z,RES,,0115 Everett Terrace,,Memphis,TN,38136,,
11,719,2014-07-17T16:32:10Z,MAIL,,5885 Ludington Road,,San Antonio,TX,78235,,
12,905,2014-11-12T22:16:05Z,RES,,3 American Ash Point,,Philadelphia,PA,19131,,
13,552,2014-10-22T21:58:35Z,MAIL,,9533 Rutledge Street,,South Bend,IN,46634,,
14,212,2014-08-10T22:58:20Z,MAIL,,90 Twin Pines Road,,Johnstown,PA,15906,,
15,479,2014-08-14T00:22:48Z,MAIL,,66 Harbort Place,,Greensboro,NC,27409,,
16,134,2014-12-02T17:37:00Z,RES,,94361 Buhler Lane,,Canton,OH,44720,,
17,780,2014-01-24T11:36:29Z,RES,,56 Westridge Court,,Boca Raton,FL,33487,,
18,484,2014-03-03T08:12:18Z,RES,,38875 Rieder Center,,Canton,OH,44710,,
19,993,2014-02-16T17:05:56Z,RES,,16588 Oneill Road,,New York City,NY,10099,,
20,687,2014-10-08T22:48:37Z,RES,,4 Eggendart Drive,,Scottsdale,AZ,85255,,
21,175,2014-05-13T07:23:32Z,RES,,99 Towne Junction,,Daytona Beach,FL,32123,,
22,394,2014-05-24T17:06:13Z,RES,,37746 Center Road,,Kansas City,MO,64114,,
23,584,2014-04-26T16:45:30Z,MAIL,,344 Burning Wood Court,,Simi Valley,CA,93094,,
24,754,2014-11-20T00:51:00Z,MAIL,,05 Lighthouse Bay Drive,,Des Moines,IA,50369,,
25,969,2014-11-25T15:53:06Z,MAIL,,9916 Starling Avenue,,Houston,TX,77299,,
26,493,2014-11-07T08:32:47Z,RES,,03014 Ryan Lane,,Sarasota,FL,34238,,
27,64,2014-11-23T05:12:51Z,MAIL,,31 Main Point,,Baltimore,MD,21216,,
28,537,2014-09-08T06:31:23Z,RES,,8 Arapahoe Pass,,New Haven,CT,06520,,
29,884,2014-11-19T23:57:28Z,MAIL,,5 Tony Lane,,Wilmington,DE,19805,,
30,699,2014-06-26T00:33:04Z,MAIL,,0926 Huxley Center,,Mountain View,CA,94042,,
31,856,2014-02-17T20:47:18Z,RES,,669 Summerview Hill,,Gilbert,AZ,85297,,
32,153,2014-10-14T19:23:05Z,MAIL,,54170 Dexter Park,,Dallas,TX,75277,,
33,111,2014-08-20T14:03:58Z,MAIL,,53276 Pine View Avenue,,Billings,MT,59112,,
34,99,2014-08-13T02:56:16Z,MAIL,,150 Meadow Ridge Center,,Lexington,KY,40510,,
35,557,2014-05-26T11:01:22Z,RES,,64 West Center,,Los Angeles,CA,90060,,
36,95,2014-09-24T06:20:06Z,RES,,05967 West Drive,,Atlanta,GA,30340,,
37,580,2014-05-23T13:33:44Z,MAIL,,002 Pond Road,,Charleston,WV,25356,,
38,928,2014-02-09T00:31:45Z,MAIL,,41014 Goodland Hill,,Milwaukee,WI,53225,,
39,745,2014-11-22T11:48:23Z,RES,,3 Nobel Avenue,,Lexington,KY,40581,,
40,874,2014-12-01T23:12:38Z,MAIL,,8 Bay Terrace,,Prescott,AZ,86305,,
41,861,2014-03-27T20:50:38Z,MAIL,,1 Aberg Terrace,,Kalamazoo,MI,49006,,
42,107,2014-07-29T11:07:46Z,RES,,8735 School Crossing,,New Orleans,LA,70160,,
43,530,2014-12-13T12:31:45Z,RES,,33 Maple Wood Street,,New Haven,CT,06533,,
44,956,2014-07-28T02:18:43Z,MAIL,,7 Mesta Crossing,,Canton,OH,44720,,
45,106,2014-04-26T03:55:44Z,MAIL,,8 Mallory Center,,Las Vegas,NV,89130,,
46,135,2014-02-18T10:50:02Z,RES,,1275 Southridge Terrace,,Birmingham,AL,35215,,
47,699,2014-10-26T03:24:01Z,RES,,2668 Rieder Circle,,Honolulu,HI,96825,,
